Matric Marks,FSc Marks, University Name ,GPA
840,894, COMSATS ,2.36
840,894, COMSATS ,2.36
601,602, COMSATS ,1.34
852,728, COMSATS ,2.76
851,728, COMSATS ,2.76
920,831, COMSATS ,3.25
923,882, COMSATS ,3.49
832,889, COMSATS ,3.24
871,830, COMSATS ,2.91
927,766, COMSATS ,2.8
821,767, COMSATS ,2.23
842,873, COMSATS ,2.83
885,746, COMSATS ,2.6
674,710, COMSATS ,2.77
844,790, COMSATS ,2.88
929,727, COMSATS ,2.58
795,600, COMSATS ,2.3
968,796, COMSATS ,2.78
1095,1095, COMSATS ,4
750,818, COMSATS ,2.98
938,865, COMSATS ,2.54
848,742, COMSATS ,3.32
968,897, COMSATS ,3.21
843,717, COMSATS ,2.48
864,820, COMSATS ,2.83
898,756, COMSATS ,2.73
876,691, COMSATS ,3.64
925,817, COMSATS ,3.6
921,937, UOL ,3.78
930,909, UOL ,3.89
894,745, UOL ,3.63
798,719, UOL ,3.28
911,744, UOL ,2.62
925,814, UOL ,3.78
974,975, UOL ,2.69
938,792, UOL ,2.64
891,817, UOL ,3.7
925,806, UOL ,2.7
828,804, UOL ,1.94
980,900, UOL ,3.42
925,820, UOL ,2.93
771,796, UOL ,3.06
807,837, UOL ,3.19
902,955, COMSATS ,3.35
797,732, COMSATS ,3.67
971,903, COMSATS ,2.61
846,824, COMSATS ,3.18
647,670, COMSATS ,3.5
899,861, COMSATS ,3.38
915,817, COMSATS ,2.55
865,828, COMSATS ,3.31
834,969, COMSATS ,3.3
883,709, COMSATS ,3.65
1095,1095, COMSATS ,4
1000,1050, COMSATS ,2
800,906, COMSATS ,2.5
686,746, COMSATS ,3.7
686,746, COMSATS ,3.7
712,790, COMSATS ,2.57
958,913, COMSATS ,3.45
800,750, COMSATS ,2.57
965,802, COMSATS ,3.78
943,851, COMSATS ,2.53
965,802, PUCIT ,3.78
790,691, PUCIT ,3.46
988,813, PUCIT ,3.05
890,849, PUCIT ,1.7
927,723, PUCIT ,2.23
946,852, PUCIT ,2.1
926,773, PUCIT ,2.85
810,858, PUCIT ,1.96
955,954, PUCIT ,3.89
875,838, PUCIT ,3.17
